canonical_name,receptors,n_receptors,has_5HT2A,has_5HT2B
5-MeO-AMT,['5-HT2A'],1,True,False
AMT-iso,['5-HT2A'],1,True,False
"MDA (R,S)",['5-HT2B'],1,False,True
BenzO-DOB,['5-HT2A'],1,True,False
LSD (-),['5-HT2A'],1,True,False
6-MeO-DMT,['5-HT2A'],1,True,False
Iodo-LSD,['5-HT2A'],1,True,False
7-Br-DMT,['5-HT2A'],1,True,False
7-MeO-DMT,['5-HT2A'],1,True,False
DOM-iso,['5-HT2A'],1,True,False
7-OH-DMT,['5-HT2A'],1,True,False
2-Iodo-LSD,['5-HT2C'],1,False,False
AMT (+),['5-HT2A'],1,True,False
AMT (-),['5-HT2A'],1,True,False
AMT,['5-HT2A'],1,True,False
