number,name,unigene,ligandid,ligandname,smiles,cas,nsc,hotligand,species,source,kinote,kival,reference,link,ligandname_lower
258,5-HT1A,HTR1A,692,DMT,CN(C)CCC1=CNC2=CC=CC=C21,61-50-7,63795.0,3H-8-OH-DPAT,HUMAN,CORTEX,,119.51,"PIERCE & PEROUTKA, 1989",,dmt
260,5-HT1A,HTR1A,692,DMT,CN(C)CCC1=CNC2=CC=CC=C21,61-50-7,63795.0,3H-8-OH-DPAT,BOVINE,HIPPOCAMPUS,,140.74,"PEROUTKA, 1985",,dmt
261,5-HT1A,HTR1A,692,DMT,CN(C)CCC1=CNC2=CC=CC=C21,61-50-7,63795.0,3H-8-OH-DPAT,RAT,CORTEX,,245.0,"TAYLOR ET AL,. 1987",,dmt
262,5-HT1A,HTR1A,706,DOB,CC(CC1=CC(=C(C=C1OC)Br)OC)N,32156-26-6,,3H-8-OH-DPAT,RAT,HIPPOCAMPUS,,3770.0,"TITELER ET AL., 1988",,dob
264,5-HT1A,HTR1A,706,DOB,CC(CC1=CC(=C(C=C1OC)Br)OC)N,32156-26-6,,3H-8-OH-DPAT,HUMAN,CORTEX,,6326.73,"PIERCE & PEROUTKA, 1989",,dob
265,5-HT1A,HTR1A,706,DOB,CC(CC1=CC(=C(C=C1OC)Br)OC)N,32156-26-6,,3H-8-OH-DPAT,RAT,HIPPOCAMPUS,,3770.0,"TITELER ET AL., 1987",,dob
269,5-HT1A,HTR1A,715,DOET,CCC1=CC(=C(C=C1OC)CC(C)N)OC.Cl,22004-32-6,,3H-8-OH-DPAT,RAT,HIPPOCAMPUS,,3930.0,"TITELER ET AL., 1988",,doet
270,5-HT1A,HTR1A,719,DOI,CC(CC1=CC(=C(C=C1OC)I)OC)N,82830-44-2,,3H-8-OH-DPAT,RAT,HIPPOCAMPUS,,2355.0,"TITELER ET AL., 1988",,doi
348,5-HT1A,HTR1A,1091,LSD,CCN(CC)C(=O)C1CN(C2CC3=CNC4=CC=CC(=C34)C2=C1)C,50-37-3,,3H-8-OH-DPAT,PIG,CORTEX,,2.57,"ENGEL ET AL, 1986",,lsd
351,5-HT1A,HTR1A,1091,LSD,CCN(CC)C(=O)C1CN(C2CC3=CNC4=CC=CC(=C34)C2=C1)C,50-37-3,,3H-8-OH-DPAT,RAT,CORTEX,,1.2,"SCHLEGEL & PEROUTKA, 1986",,lsd
352,5-HT1A,HTR1A,1091,LSD,CCN(CC)C(=O)C1CN(C2CC3=CNC4=CC=CC(=C34)C2=C1)C,50-37-3,,3H-IPSAPIRONE,BOVINE,HIPPOCAMPUS,,0.31,"DOMPERT ET AL., 1985",,lsd
353,5-HT1A,HTR1A,1091,LSD,CCN(CC)C(=O)C1CN(C2CC3=CNC4=CC=CC(=C34)C2=C1)C,50-37-3,,3H-WB4101,HUMAN,CORTEX,,0.64,"WANDER ET AL., 1987",,lsd
354,5-HT1A,HTR1A,1091,LSD,CCN(CC)C(=O)C1CN(C2CC3=CNC4=CC=CC(=C34)C2=C1)C,50-37-3,,3H-8-OH-DPAT,RAT,HIPPOCAMPUS,,2.05,"HALL ET AL., 1985",,lsd
357,5-HT1A,HTR1A,1091,LSD,CCN(CC)C(=O)C1CN(C2CC3=CNC4=CC=CC(=C34)C2=C1)C,50-37-3,,3H-8-OH-DPAT,RAT,HIPPOCAMPUS,,0.43,"TITELER ET AL., 1988",,lsd
358,5-HT1A,HTR1A,1091,LSD,CCN(CC)C(=O)C1CN(C2CC3=CNC4=CC=CC(=C34)C2=C1)C,50-37-3,,3H-8-OH-DPAT,PIG,CORTEX,,2.57,"MARKSTEIN ET AL, 1986",,lsd
360,5-HT1A,HTR1A,1091,LSD,CCN(CC)C(=O)C1CN(C2CC3=CNC4=CC=CC(=C34)C2=C1)C,50-37-3,,3H-8-OH-DPAT,RAT,CORTEX,,3.9,"PEROUTKA, 1986",,lsd
361,5-HT1A,HTR1A,1091,LSD,CCN(CC)C(=O)C1CN(C2CC3=CNC4=CC=CC(=C34)C2=C1)C,50-37-3,,3H-8-OH-DPAT,RAT,HIPPOCAMPUS,,4.1,"HALL ET AL., 1986",,lsd
362,5-HT1A,HTR1A,1091,LSD,CCN(CC)C(=O)C1CN(C2CC3=CNC4=CC=CC(=C34)C2=C1)C,50-37-3,,3H-8-OH-DPAT,HUMAN,CORTEX,,4.92,"PIERCE & PEROUTKA, 1989",,lsd
707,5-HT2C,HTR2C,706,DOB,CC(CC1=CC(=C(C=C1OC)Br)OC)N,32156-26-6,,3H-MESULERGINE,PIG,CORTEX,,69.0,"TITELER ET AL., 1988",,dob
708,5-HT2C,HTR2C,706,DOB,CC(CC1=CC(=C(C=C1OC)Br)OC)N,32156-26-6,,3H-MESULERGINE,PIG,CORTEX,,69.0,"TITELER ET AL., 1987",,dob
712,5-HT2C,HTR2C,715,DOET,CCC1=CC(=C(C=C1OC)CC(C)N)OC.Cl,22004-32-6,,3H-MESULERGINE,PIG,CORTEX,,101.0,"TITELER ET AL., 1988",,doet
713,5-HT2C,HTR2C,719,DOI,CC(CC1=CC(=C(C=C1OC)I)OC)N,82830-44-2,,125I-SCH 23982,PIG,Choroid Plexus,,11.7,"HOYER & KARPF, 1988",,doi
714,5-HT2C,HTR2C,719,DOI,CC(CC1=CC(=C(C=C1OC)I)OC)N,82830-44-2,,3H-MESULERGINE,PIG,Choroid Plexus,,18.6,"HOYER & KARPF, 1988",,doi
715,5-HT2C,HTR2C,719,DOI,CC(CC1=CC(=C(C=C1OC)I)OC)N,82830-44-2,,3H-MESULERGINE,PIG,Choroid Plexus,,18.6,"HOYER ET AL., 1989",,doi
716,5-HT2C,HTR2C,719,DOI,CC(CC1=CC(=C(C=C1OC)I)OC)N,82830-44-2,,3H-MESULERGINE,PIG,Choroid Plexus,,18.6,"HOYER, 1988",,doi
717,5-HT2C,HTR2C,719,DOI,CC(CC1=CC(=C(C=C1OC)I)OC)N,82830-44-2,,3H-MESULERGINE,PIG,CORTEX,,30.0,"TITELER ET AL., 1988",,doi
718,5-HT2C,HTR2C,722,DOM,CC1=CC(=C(C=C1OC)CC(C)N)OC,15588-95-1,,3H-MESULERGINE,PIG,CORTEX,,193.0,"TITELER ET AL., 1988",,dom
735,5-HT2C,HTR2C,733,DOPR,,64638-08-0,,3H-MESULERGINE,PIG,CORTEX,,14.0,"TITELER ET AL., 1988",,dopr
752,5-HT2C,HTR2C,919,HARMINE,CC1=C2C(=C3C=CC(=CC3=N2)OC)C=CN1,442-51-3,,3H-MESULERGINE,PIG,Choroid Plexus,>,10000.0,"HOYER, 1988 or 9 (book)",,harmine
801,5-HT2C,HTR2C,1091,LSD,CCN(CC)C(=O)C1CN(C2CC3=CNC4=CC=CC(=C34)C2=C1)C,50-37-3,,3H-5HT,PIG,Choroid Plexus,,5.0,"PAZOS ET AL, 1984",,lsd
802,5-HT2C,HTR2C,1091,LSD,CCN(CC)C(=O)C1CN(C2CC3=CNC4=CC=CC(=C34)C2=C1)C,50-37-3,,3H-MESULERGINE,PIG,CORTEX,,7.9,"PAZOS ET AL, 1984",,lsd
803,5-HT2C,HTR2C,1091,LSD,CCN(CC)C(=O)C1CN(C2CC3=CNC4=CC=CC(=C34)C2=C1)C,50-37-3,,3H-MESULERGINE,PIG,Choroid Plexus,,7.9,"PAZOS ET AL, 1984",,lsd
804,5-HT2C,HTR2C,1091,LSD,CCN(CC)C(=O)C1CN(C2CC3=CNC4=CC=CC(=C34)C2=C1)C,50-37-3,,3H-MESULERGINE,PIG,Choroid Plexus,,7.94,"HOYER ET AL., 1986",,lsd
805,5-HT2C,HTR2C,1091,LSD,CCN(CC)C(=O)C1CN(C2CC3=CNC4=CC=CC(=C34)C2=C1)C,50-37-3,,3H-MESULERGINE,PIG,Choroid Plexus,,11.7,"ENGEL ET AL, 1986",,lsd
806,5-HT2C,HTR2C,1091,LSD,CCN(CC)C(=O)C1CN(C2CC3=CNC4=CC=CC(=C34)C2=C1)C,50-37-3,,3H-MESULERGINE,PIG,Choroid Plexus,,12.6,"HOYER, 1988 or 9 (book)",,lsd
810,5-HT2C,HTR2C,1091,LSD,CCN(CC)C(=O)C1CN(C2CC3=CNC4=CC=CC(=C34)C2=C1)C,50-37-3,,3H-MESULERGINE,PIG,Choroid Plexus,,11.7,"HOYER, 1989 (J.R.R.)",,lsd
811,5-HT2C,HTR2C,1091,LSD,CCN(CC)C(=O)C1CN(C2CC3=CNC4=CC=CC(=C34)C2=C1)C,50-37-3,,3H-MESULERGINE,PIG,CORTEX,,3.8,"TITELER ET AL., 1988",,lsd
812,5-HT2C,HTR2C,1091,LSD,CCN(CC)C(=O)C1CN(C2CC3=CNC4=CC=CC(=C34)C2=C1)C,50-37-3,,3H-MESULERGINE,PIG,Choroid Plexus,,11.7,"MARKSTEIN ET AL, 1986",,lsd
823,5-HT2C,HTR2C,1169,MDA,CC(CC1=CC2=C(C=C1)OCO2)N,1614,,3H-MESULERGINE,PIG,CORTEX,,2932.0,"TITELER ET AL., 1988",,mda
1012,5-HT1B,HTR1B,692,DMT,CN(C)CCC1=CNC2=CC=CC=C21,61-50-7,63795.0,125I-CYP,RAT,CORTEX,,2200.0,"OFFORD ET AL., 1988",,dmt
1015,5-HT1B,HTR1B,706,DOB,CC(CC1=CC(=C(C=C1OC)Br)OC)N,32156-26-6,,3H-5HT,RAT,STRIATUM,,831.0,"TITELER ET AL., 1988",,dob
1017,5-HT1B,HTR1B,706,DOB,CC(CC1=CC(=C(C=C1OC)Br)OC)N,32156-26-6,,3H-5HT,RAT,STRIATUM,,831.0,"TITELER ET AL., 1987",,dob
1021,5-HT1B,HTR1B,715,DOET,CCC1=CC(=C(C=C1OC)CC(C)N)OC.Cl,22004-32-6,,3H-5HT,RAT,STRIATUM,,2451.0,"TITELER ET AL., 1988",,doet
1022,5-HT1B,HTR1B,719,DOI,CC(CC1=CC(=C(C=C1OC)I)OC)N,82830-44-2,,3H-5HT,RAT,STRIATUM,,1261.0,"TITELER ET AL., 1988",,doi
1023,5-HT1B,HTR1B,722,DOM,CC1=CC(=C(C=C1OC)CC(C)N)OC,15588-95-1,,3H-5HT,RAT,STRIATUM,,2063.0,"TITELER ET AL., 1988",,dom
1032,5-HT1B,HTR1B,733,DOPR,,64638-08-0,,3H-5HT,RAT,STRIATUM,,2330.0,"TITELER ET AL., 1988",,dopr
1144,5-HT2C,HTR2C,1920,TRYPTAMINE,C1=CC=C2C(=C1)C(=CN2)CCN,61-54-1,165212.0,3H-MESULERGINE,PIG,Choroid Plexus,,46.8,"ENGEL ET AL, 1986",,tryptamine
1145,5-HT2C,HTR2C,1920,TRYPTAMINE,C1=CC=C2C(=C1)C(=CN2)CCN,61-54-1,165212.0,3H-MESULERGINE,PIG,Choroid Plexus,,46.8,"HOYER, 1989 (J.R.R.)",,tryptamine
1146,5-HT2C,HTR2C,1920,TRYPTAMINE,C1=CC=C2C(=C1)C(=CN2)CCN,61-54-1,165212.0,3H-MESULERGINE,PIG,Choroid Plexus,,50.1,"HOYER, 1988 or 9 (book)",,tryptamine
1257,5-HT1D,HTR1D,692,DMT,CN(C)CCC1=CNC2=CC=CC=C21,61-50-7,63795.0,3H-5HT,COW,CAUDATE,,71.38,"PIERCE & PEROUTKA, 1989",,dmt
1258,5-HT1D,HTR1D,692,DMT,CN(C)CCC1=CNC2=CC=CC=C21,61-50-7,63795.0,3H-5HT,BOVINE,STRIATUM,,190.0,"HEURING & PEROUTKA, 1987",,dmt
1259,5-HT1D,HTR1D,692,DMT,CN(C)CCC1=CNC2=CC=CC=C21,61-50-7,63795.0,3H-5HT,HUMAN,CORTEX,,270.0,"PEROUTKA ET AL., 1989",,dmt
1260,5-HT1D,HTR1D,692,DMT,CN(C)CCC1=CNC2=CC=CC=C21,61-50-7,63795.0,3H-5HT,BOVINE,STRIATUM,,342.86,"PEROUTKA, 1985",,dmt
1261,5-HT1D,HTR1D,706,DOB,CC(CC1=CC(=C(C=C1OC)Br)OC)N,32156-26-6,,3H-5HT,COW,CAUDATE,,1448.28,"PIERCE & PEROUTKA, 1989",,dob
1262,5-HT1D,HTR1D,706,DOB,CC(CC1=CC(=C(C=C1OC)Br)OC)N,32156-26-6,,3H-5HT,RAT,STRIATUM,,1800.0,"HERRICK-DAVIS & TITELER, 198",,dob
1263,5-HT1D,HTR1D,706,DOB,CC(CC1=CC(=C(C=C1OC)Br)OC)N,32156-26-6,,3H-5HT,RAT,CORTEX,,3400.0,"HERRICK-DAVIS & TITELER, 198",,dob
1264,5-HT1D,HTR1D,719,DOI,CC(CC1=CC(=C(C=C1OC)I)OC)N,82830-44-2,,3H-5HT,COW,CAUDATE,,1241.38,"PIERCE & PEROUTKA, 1989",,doi
1285,5-HT1D,HTR1D,919,HARMINE,CC1=C2C(=C3C=CC(=CC3=N2)OC)C=CN1,442-51-3,,3H-5HT,CALF,CAUDATE,>,10000.0,"HOYER, 1988 or 9 (book)",,harmine
1286,5-HT1D,HTR1D,919,HARMINE,CC1=C2C(=C3C=CC(=CC3=N2)OC)C=CN1,442-51-3,,3H-5HT,CALF,CAUDATE,>,10000.0,"WAEBER ET AL., 1988",,harmine
1287,5-HT1D,HTR1D,919,HARMINE,CC1=C2C(=C3C=CC(=CC3=N2)OC)C=CN1,442-51-3,,3H-5HT,PIG,CAUDATE,>,10000.0,"WAEBER ET AL., 1988",,harmine
1322,5-HT1D,HTR1D,1091,LSD,CCN(CC)C(=O)C1CN(C2CC3=CNC4=CC=CC(=C34)C2=C1)C,50-37-3,,3H-5HT,CALF,CAUDATE,,6.31,"HOYER, 1988 or 9 (book)",,lsd
1323,5-HT1D,HTR1D,1091,LSD,CCN(CC)C(=O)C1CN(C2CC3=CNC4=CC=CC(=C34)C2=C1)C,50-37-3,,3H-5HT,COW,CAUDATE,,7.08,"HOYER, 1987",,lsd
1324,5-HT1D,HTR1D,1091,LSD,CCN(CC)C(=O)C1CN(C2CC3=CNC4=CC=CC(=C34)C2=C1)C,50-37-3,,3H-5HT,CALF,CAUDATE,,7.08,"HOYER, 1989 (J.R.R.)",,lsd
1325,5-HT1D,HTR1D,1091,LSD,CCN(CC)C(=O)C1CN(C2CC3=CNC4=CC=CC(=C34)C2=C1)C,50-37-3,,3H-5HT,RAT,STRIATUM,,7.7,"HERRICK-DAVIS & TITELER, 198",,lsd
1326,5-HT1D,HTR1D,1091,LSD,CCN(CC)C(=O)C1CN(C2CC3=CNC4=CC=CC(=C34)C2=C1)C,50-37-3,,3H-5HT,RAT,CORTEX,,10.0,"HERRICK-DAVIS & TITELER, 198",,lsd
1327,5-HT1D,HTR1D,1091,LSD,CCN(CC)C(=O)C1CN(C2CC3=CNC4=CC=CC(=C34)C2=C1)C,50-37-3,,3H-5HT,HUMAN,CORTEX,,14.0,"PEROUTKA ET AL., 1989",,lsd
1328,5-HT1D,HTR1D,1091,LSD,CCN(CC)C(=O)C1CN(C2CC3=CNC4=CC=CC(=C34)C2=C1)C,50-37-3,,3H-5HT,BOVINE,STRIATUM,,24.0,"HEURING & PEROUTKA, 1987",,lsd
1329,5-HT1D,HTR1D,1091,LSD,CCN(CC)C(=O)C1CN(C2CC3=CNC4=CC=CC(=C34)C2=C1)C,50-37-3,,3H-5HT,COW,CAUDATE,,28.97,"PIERCE & PEROUTKA, 1989",,lsd
1420,5-HT1B,HTR1B,1091,LSD,CCN(CC)C(=O)C1CN(C2CC3=CNC4=CC=CC(=C34)C2=C1)C,50-37-3,,125I-ICYP,RAT,CORTEX,,39.0,"OFFORD ET AL., 1988",,lsd
1421,5-HT1B,HTR1B,1091,LSD,CCN(CC)C(=O)C1CN(C2CC3=CNC4=CC=CC(=C34)C2=C1)C,50-37-3,,125I-CYP,RAT,CORTEX,,151.0,"ENGEL ET AL, 1986",,lsd
1425,5-HT1B,HTR1B,1091,LSD,CCN(CC)C(=O)C1CN(C2CC3=CNC4=CC=CC(=C34)C2=C1)C,50-37-3,,3H-5HT,RAT,STRIATUM,,6.6,"TITELER ET AL., 1988",,lsd
1426,5-HT1B,HTR1B,1091,LSD,CCN(CC)C(=O)C1CN(C2CC3=CNC4=CC=CC(=C34)C2=C1)C,50-37-3,,125I-CYP,RAT,CORTEX,,151.0,"MARKSTEIN ET AL, 1986",,lsd
1427,5-HT1B,HTR1B,1091,LSD,CCN(CC)C(=O)C1CN(C2CC3=CNC4=CC=CC(=C34)C2=C1)C,50-37-3,,3H-5HT,RAT,CORTEX,,170.0,"PEROUTKA, 1986",,lsd
1438,5-HT1B,HTR1B,1169,MDA,CC(CC1=CC2=C(C=C1)OCO2)N,1614,,3H-5HT,RAT,STRIATUM,>,10000.0,"TITELER ET AL., 1988",,mda
1845,5-HT2A,HTR2A,692,DMT,CN(C)CCC1=CNC2=CC=CC=C21,61-50-7,63795.0,3H-SPIPERONE,HUMAN,CORTEX,,230.27,"PIERCE & PEROUTKA, 1989",,dmt
1847,5-HT2A,HTR2A,692,DMT,CN(C)CCC1=CNC2=CC=CC=C21,61-50-7,63795.0,3H-KETANSERIN,HUMAN,CORTEX,,462.0,"SADZOT ET AL., 1989",,dmt
1848,5-HT2B,HTR2B,692,DMT,CN(C)CCC1=CNC2=CC=CC=C21,61-50-7,63795.0,3H-KETANSERIN,BOVINE,CORTEX,,550.0,"MCKENNA & PEROUTKA, 1989",http://www.ncbi.nlm.nih.gov/pubmed/2795135?itool=EntrezSystem2.PEntrez.Pubmed.Pubmed_ResultsPanel.Pubmed_RVDocSum&ordinalpos=33,dmt
1849,5-HT2A,HTR2A,692,DMT,CN(C)CCC1=CNC2=CC=CC=C21,61-50-7,63795.0,3H-KETANSERIN,RAT,CORTEX,,558.0,"TAYLOR ET AL,. 1987",,dmt
1850,5-HT2A,HTR2A,692,DMT,CN(C)CCC1=CNC2=CC=CC=C21,61-50-7,63795.0,3H-KETANSERIN,RAT,CORTEX,,1183.0,"LYON ET AL., 1987",,dmt
1851,5-HT2A,HTR2A,692,DMT,CN(C)CCC1=CNC2=CC=CC=C21,61-50-7,63795.0,3H-KETANSERIN,RAT,CORTEX,,1200.0,"LYON ET AL., 1988",,dmt
1852,5-HT2A,HTR2A,692,DMT,CN(C)CCC1=CNC2=CC=CC=C21,61-50-7,63795.0,3H-KETANSERIN,RAT,CORTEX,,1200.0,"LYON ET AL., 1988",,dmt
1876,5-HT2A,HTR2A,706,DOB,CC(CC1=CC(=C(C=C1OC)Br)OC)N,32156-26-6,,3H-SPIPERONE,HUMAN,CORTEX,,26.23,"PIERCE & PEROUTKA, 1989",,dob
1877,5-HT2A,HTR2A,706,DOB,CC(CC1=CC(=C(C=C1OC)Br)OC)N,32156-26-6,,3H-KETANSERIN,RAT,CORTEX,,41.0,"LYON ET AL., 1987",,dob
1886,5-HT2A,HTR2A,715,DOET,CCC1=CC(=C(C=C1OC)CC(C)N)OC.Cl,22004-32-6,,3H-KETANSERIN,HUMAN,CORTEX,,53.0,"SADZOT ET AL., 1989",,doet
1888,5-HT2A,HTR2A,719,DOI,CC(CC1=CC(=C(C=C1OC)I)OC)N,82830-44-2,,3H-KETANSERIN,HUMAN,CORTEX,,6.0,"SADZOT ET AL., 1989",,doi
1889,5-HT2A,HTR2A,719,DOI,CC(CC1=CC(=C(C=C1OC)I)OC)N,82830-44-2,,3H-KETANSERIN,RAT,CORTEX,,14.5,"HOYER, 1988 (TIPS)",,doi
1890,5-HT2A,HTR2A,719,DOI,CC(CC1=CC(=C(C=C1OC)I)OC)N,82830-44-2,,3H-SPIPERONE,HUMAN,CORTEX,,20.47,"PIERCE & PEROUTKA, 1989",,doi
1893,5-HT2A,HTR2A,722,DOM,CC1=CC(=C(C=C1OC)CC(C)N)OC,15588-95-1,,3H-KETANSERIN,RAT,CORTEX,,100.0,"LYON ET AL., 1988",,dom
1894,5-HT2A,HTR2A,722,DOM,CC1=CC(=C(C=C1OC)CC(C)N)OC,15588-95-1,,3H-KETANSERIN,RAT,CORTEX,,100.0,"GLENNON ET AL., 1988",,dom
1895,5-HT2A,HTR2A,722,DOM,CC1=CC(=C(C=C1OC)CC(C)N)OC,15588-95-1,,3H-KETANSERIN,HUMAN,CORTEX,,162.0,"SADZOT ET AL., 1989",,dom
2110,5-HT1D,HTR1D,1920,TRYPTAMINE,C1=CC=C2C(=C1)C(=CN2)CCN,61-54-1,165212.0,3H-5HT,BOVINE,STRIATUM,,36.0,"HEURING & PEROUTKA, 1987",,tryptamine
2112,5-HT1D,HTR1D,1920,TRYPTAMINE,C1=CC=C2C(=C1)C(=CN2)CCN,61-54-1,165212.0,3H-5HT,CALF,CAUDATE,,39.8,"HOYER, 1988 or 9 (book)",,tryptamine
2113,5-HT1D,HTR1D,1920,TRYPTAMINE,C1=CC=C2C(=C1)C(=CN2)CCN,61-54-1,165212.0,3H-5HT,HUMAN,CAUDATE,,41.7,"WAEBER ET AL., 1988",,tryptamine
2114,5-HT1D,HTR1D,1920,TRYPTAMINE,C1=CC=C2C(=C1)C(=CN2)CCN,61-54-1,165212.0,3H-5HT,HUMAN,CORTEX,,46.0,"PEROUTKA ET AL., 1989",,tryptamine
2115,5-HT1D,HTR1D,1920,TRYPTAMINE,C1=CC=C2C(=C1)C(=CN2)CCN,61-54-1,165212.0,3H-5HT,COW,CAUDATE,,85.1,"HOYER, 1987",,tryptamine
2116,5-HT1D,HTR1D,1920,TRYPTAMINE,C1=CC=C2C(=C1)C(=CN2)CCN,61-54-1,165212.0,3H-5HT,CALF,CAUDATE,,85.1,"HOYER, 1989 (J.R.R.)",,tryptamine
2117,5-HT1D,HTR1D,1920,TRYPTAMINE,C1=CC=C2C(=C1)C(=CN2)CCN,61-54-1,165212.0,3H-5HT,PIG,CAUDATE,,224.0,"WAEBER ET AL., 1988",,tryptamine
2118,5-HT1D,HTR1D,1920,TRYPTAMINE,C1=CC=C2C(=C1)C(=CN2)CCN,61-54-1,165212.0,3H-5HT,CALF,CAUDATE,,295.0,"WAEBER ET AL., 1988",,tryptamine
2203,5-HT1B,HTR1B,1920,TRYPTAMINE,C1=CC=C2C(=C1)C(=CN2)CCN,61-54-1,165212.0,125I-CYP,RAT,CORTEX,,1020.0,"HOYER, 1988(9) (J.R.R.)",,tryptamine
2207,5-HT1B,HTR1B,1920,TRYPTAMINE,C1=CC=C2C(=C1)C(=CN2)CCN,61-54-1,165212.0,125I-CYP,RAT,CORTEX,>,10000.0,"ENGEL ET AL, 1986",,tryptamine
2364,5-HT3,HTR3A,1091,LSD,CCN(CC)C(=O)C1CN(C2CC3=CNC4=CC=CC(=C34)C2=C1)C,50-37-3,,3H-QUIPAZINE,RAT,CORTEX,>,10000.0,"MILBURN & PEROUTKA, 1989",,lsd
2365,5-HT3,HTR3A,1091,LSD,CCN(CC)C(=O)C1CN(C2CC3=CNC4=CC=CC(=C34)C2=C1)C,50-37-3,,3H-QUIPAZINE,RAT,CORTEX,>,10000.0,"PEROUTKA & HAMIK, 1988",,lsd
2575,5-HT2A,HTR2A,1920,TRYPTAMINE,C1=CC=C2C(=C1)C(=CN2)CCN,61-54-1,165212.0,3H-KETANSERIN,RAT,CORTEX,,1000.0,"ENGEL ET AL, 1986",,tryptamine
2576,5-HT2A,HTR2A,1920,TRYPTAMINE,C1=CC=C2C(=C1)C(=CN2)CCN,61-54-1,165212.0,3H-KETANSERIN,RAT,CORTEX,,1120.0,"HOYER, 1989 (J.R.R.)",,tryptamine
2577,5-HT2A,HTR2A,1920,TRYPTAMINE,C1=CC=C2C(=C1)C(=CN2)CCN,61-54-1,165212.0,3H-KETANSERIN,RAT,CORTEX,,1121.33,"BATTAGLIA ET AL., 1983",,tryptamine
2578,5-HT2B,HTR2B,1920,TRYPTAMINE,C1=CC=C2C(=C1)C(=CN2)CCN,61-54-1,165212.0,3H-KETANSERIN,BOVINE,CORTEX,,1300.0,"MCKENNA & PEROUTKA, 1989",http://www.ncbi.nlm.nih.gov/pubmed/2795135?itool=EntrezSystem2.PEntrez.Pubmed.Pubmed_ResultsPanel.Pubmed_RVDocSum&ordinalpos=33,tryptamine
2579,5-HT2A,HTR2A,1920,TRYPTAMINE,C1=CC=C2C(=C1)C(=CN2)CCN,61-54-1,165212.0,3H-KETANSERIN,RAT,CORTEX,,2005.0,"LYON ET AL., 1987",,tryptamine
2580,5-HT2A,HTR2A,1920,TRYPTAMINE,C1=CC=C2C(=C1)C(=CN2)CCN,61-54-1,165212.0,3H-SPIPERONE,HUMAN,CORTEX,,2244.78,"ANDORN ET AL., 1984",,tryptamine
2581,5-HT2A,HTR2A,1920,TRYPTAMINE,C1=CC=C2C(=C1)C(=CN2)CCN,61-54-1,165212.0,3H-KETANSERIN,RAT,CORTEX,,2885.86,"TITELER ET AL., 1984",,tryptamine
2582,5-HT2A,HTR2A,1920,TRYPTAMINE,C1=CC=C2C(=C1)C(=CN2)CCN,61-54-1,165212.0,3H-KETANSERIN,RAT,CORTEX,,2894.0,"BATTAGLIA ET AL., 1984",,tryptamine
2583,5-HT2A,HTR2A,1920,TRYPTAMINE,C1=CC=C2C(=C1)C(=CN2)CCN,61-54-1,165212.0,3H-SPIPERONE,RAT,CORTEX,,3158.7,"LEYSEN ET AL., 1978",,tryptamine
2584,5-HT2A,HTR2A,1920,TRYPTAMINE,C1=CC=C2C(=C1)C(=CN2)CCN,61-54-1,165212.0,125I-LSD,HUMAN,FR. CORTEX,>,10000.0,"ELLIOT & KENT, 1989",,tryptamine
2721,5-HT2A,HTR2A,1546,PSILOCIN,CN(C)CCC1=CNC2=C1C(=CC=C2)O,520-53-6,,3H-KETANSERIN,BOVINE,CORTEX,,370.0,"MCKENNA, ET AL., 1989",,psilocin
2722,5-HT2B,HTR2B,1546,PSILOCIN,CN(C)CCC1=CNC2=C1C(=CC=C2)O,520-53-6,,3H-KETANSERIN,BOVINE,CORTEX,,450.0,"MCKENNA & PEROUTKA, 1989",http://www.ncbi.nlm.nih.gov/pubmed/2795135?itool=EntrezSystem2.PEntrez.Pubmed.Pubmed_ResultsPanel.Pubmed_RVDocSum&ordinalpos=33,psilocin
2723,5-HT2B,HTR2B,1547,PSILOCYBIN,CN(C)CCC1=CNC2=C1C(=CC=C2)OP(=O)(O)O,520-52-5,,3H-KETANSERIN,BOVINE,CORTEX,,600.0,"MCKENNA & PEROUTKA, 1989",http://www.ncbi.nlm.nih.gov/pubmed/2795135?itool=EntrezSystem2.PEntrez.Pubmed.Pubmed_ResultsPanel.Pubmed_RVDocSum&ordinalpos=33,psilocybin
2879,5-HT2A,HTR2A,1091,LSD,CCN(CC)C(=O)C1CN(C2CC3=CNC4=CC=CC(=C34)C2=C1)C,50-37-3,,3H-KETANSERIN,RAT,CORTEX,,2.11,"BATTAGLIA ET AL., 1983",,lsd
2880,5-HT2A,HTR2A,1091,LSD,CCN(CC)C(=O)C1CN(C2CC3=CNC4=CC=CC(=C34)C2=C1)C,50-37-3,,3H-KETANSERIN,RAT,CORTEX,,2.4,"ENGEL ET AL, 1986",,lsd
2881,5-HT2A,HTR2A,1091,LSD,CCN(CC)C(=O)C1CN(C2CC3=CNC4=CC=CC(=C34)C2=C1)C,50-37-3,,3H-KETANSERIN,RAT,CORTEX,,2.5,"LEYSON ET AL., 1982",,lsd
2882,5-HT2A,HTR2A,1091,LSD,CCN(CC)C(=O)C1CN(C2CC3=CNC4=CC=CC(=C34)C2=C1)C,50-37-3,,3H-KETANSERIN,RAT,FR. CORTEX,,2.77,"LEYSEN ET AL., 1988",,lsd
2884,5-HT2A,HTR2A,1091,LSD,CCN(CC)C(=O)C1CN(C2CC3=CNC4=CC=CC(=C34)C2=C1)C,50-37-3,,3H-SPIPERONE,RAT,CORTEX,,4.76,"LEYSEN ET AL., 1978",,lsd
