assay_chembl_id,assay_description,document_chembl_id,standard_type,standard_units,molecule_chembl_id,standard_value,standard_relation,pathway
CHEMBL5375652,Agonist activity at 5-HT2A (unknown origin) expressed in HEK293T cells co-transfected with RLuc-fused Galphaq/GFP2/Gy9/Gbeta3 assessed as Gaq hetero trimeric G protein activation at 0.1 to 10 uM incubated for 30 mins using coelenterazine 400a as a substrate by BRET assay relative to control,CHEMBL5370684,EMAX,%,CHEMBL5416604,94.8,=,gq
CHEMBL5375652,Agonist activity at 5-HT2A (unknown origin) expressed in HEK293T cells co-transfected with RLuc-fused Galphaq/GFP2/Gy9/Gbeta3 assessed as Gaq hetero trimeric G protein activation at 0.1 to 10 uM incubated for 30 mins using coelenterazine 400a as a substrate by BRET assay relative to control,CHEMBL5370684,EMAX,%,CHEMBL5399727,88.3,=,gq
CHEMBL5375652,Agonist activity at 5-HT2A (unknown origin) expressed in HEK293T cells co-transfected with RLuc-fused Galphaq/GFP2/Gy9/Gbeta3 assessed as Gaq hetero trimeric G protein activation at 0.1 to 10 uM incubated for 30 mins using coelenterazine 400a as a substrate by BRET assay relative to control,CHEMBL5370684,EMAX,%,CHEMBL5401711,47.1,=,gq
CHEMBL5375652,Agonist activity at 5-HT2A (unknown origin) expressed in HEK293T cells co-transfected with RLuc-fused Galphaq/GFP2/Gy9/Gbeta3 assessed as Gaq hetero trimeric G protein activation at 0.1 to 10 uM incubated for 30 mins using coelenterazine 400a as a substrate by BRET assay relative to control,CHEMBL5370684,EMAX,%,CHEMBL5433583,89.2,=,gq
CHEMBL5375652,Agonist activity at 5-HT2A (unknown origin) expressed in HEK293T cells co-transfected with RLuc-fused Galphaq/GFP2/Gy9/Gbeta3 assessed as Gaq hetero trimeric G protein activation at 0.1 to 10 uM incubated for 30 mins using coelenterazine 400a as a substrate by BRET assay relative to control,CHEMBL5370684,EMAX,%,CHEMBL5424784,91.4,=,gq
CHEMBL5375652,Agonist activity at 5-HT2A (unknown origin) expressed in HEK293T cells co-transfected with RLuc-fused Galphaq/GFP2/Gy9/Gbeta3 assessed as Gaq hetero trimeric G protein activation at 0.1 to 10 uM incubated for 30 mins using coelenterazine 400a as a substrate by BRET assay relative to control,CHEMBL5370684,EMAX,%,CHEMBL5440436,106.3,=,gq
CHEMBL5375652,Agonist activity at 5-HT2A (unknown origin) expressed in HEK293T cells co-transfected with RLuc-fused Galphaq/GFP2/Gy9/Gbeta3 assessed as Gaq hetero trimeric G protein activation at 0.1 to 10 uM incubated for 30 mins using coelenterazine 400a as a substrate by BRET assay relative to control,CHEMBL5370684,EMAX,%,CHEMBL5437921,95.4,=,gq
CHEMBL5120415,Agonist activity at human 5HT2A receptor transfected in HEK293T cells assessed as beta arrestin-2 recruitment measured for 2 hrs by luminescent assay relative to control,CHEMBL5113537,EMAX,%,CHEMBL39,110.0,=,beta-arrestin
CHEMBL5120415,Agonist activity at human 5HT2A receptor transfected in HEK293T cells assessed as beta arrestin-2 recruitment measured for 2 hrs by luminescent assay relative to control,CHEMBL5113537,EMAX,%,CHEMBL263881,99.7,=,beta-arrestin
CHEMBL5120415,Agonist activity at human 5HT2A receptor transfected in HEK293T cells assessed as beta arrestin-2 recruitment measured for 2 hrs by luminescent assay relative to control,CHEMBL5113537,EMAX,%,CHEMBL3589598,112.0,=,beta-arrestin
CHEMBL5120415,Agonist activity at human 5HT2A receptor transfected in HEK293T cells assessed as beta arrestin-2 recruitment measured for 2 hrs by luminescent assay relative to control,CHEMBL5113537,EMAX,%,CHEMBL3589597,113.0,=,beta-arrestin
CHEMBL5120415,Agonist activity at human 5HT2A receptor transfected in HEK293T cells assessed as beta arrestin-2 recruitment measured for 2 hrs by luminescent assay relative to control,CHEMBL5113537,EMAX,%,CHEMBL5208046,96.6,=,beta-arrestin
