assay_chembl_id,assay_description,document_chembl_id,n_records,pathway
CHEMBL5120422,Agonist activity at human N and C-terminal 5HT2A receptor expressed in HEK293T cells cotransfected with Renilla luciferase assessed as fold decrease in potency of Galphaq dissociation by BRET assay,CHEMBL5113537,2,gq
CHEMBL4709860,Antagonist activity at human 5HT2A receptor expressed in CHO-K1 cells assessed as inhibition of 5HT-induced calcium flux at 10 uM incubated for 60 mins at 37 degC followed by 15 mins incubation at room temperature and subsequent 5HT addition by calcium 4 dye based FLIPR assay relative to control,CHEMBL4706549,2,gq
CHEMBL4709858,Agonist activity at human 5HT2A receptor expressed in CHO-K1 cells at 10 uM by calcium 4 dye based FLIPR assay relative to control,CHEMBL4706549,2,gq
CHEMBL5697017,Inhibition of human 5-HT2A by intracellular Ca2+ luminescence assay,CHEMBL5696440,2,gq
CHEMBL4229842,Antagonist activity at human 5-HT2AR expressed in HEK293 cells assessed as inhibition of serotonin-induced calcium flux at 10'-6 M after 30 mins by HTRF method,CHEMBL4229332,2,gq
CHEMBL4276607,Antagonist activity at serotonin 5-HT2A receptor (unknown origin) expressed in HEK293 cells assessed as inhibition of serotonin-induced calcium flux after 15 mins by calcium 4-dye based FLIPR assay,CHEMBL4270672,2,gq
CHEMBL4276606,Antagonist activity at serotonin 5-HT2A receptor (unknown origin) expressed in HEK293 cells assessed as inhibition of serotonin-induced calcium flux at 10 uM after 15 mins by calcium 4-dye based FLIPR assay relative to control,CHEMBL4270672,2,gq
CHEMBL4276596,Agonist activity at serotonin 5-HT2A receptor (unknown origin) expressed in HEK293 cells assessed as induction of calcium flux at 10 uM after 60 mins by calcium 4-dye based FLIPR assay relative to control,CHEMBL4270672,2,gq
CHEMBL617053,Functional antagonist activity of compound was determined by fluorescence-based assay measuring intracellular calcium mobilization for 5-HT2a receptor cell line,CHEMBL1133355,1,gq
CHEMBL5554848,Inverse agonist activity at human 5-HT2A receptor transfected in HEK293T cells assessed as maximal reduction in inositol monophosphate (IP1) accumulation by homogeneous time-resolved fluorescence (HTRF) assay relative to ritanserin,CHEMBL5550221,1,gq
CHEMBL5547750,Agonist activity at human serotonin receptor 2A assessed as calcium flux at 10 uM by SAFETYscan analysis,CHEMBL5543141,1,gq
CHEMBL5511910,Antagonist activity at human 5-HT2A receptor expressed in HEK293 cells assessed as inhibition of alpha-methylserotonin induced calcium flux,CHEMBL5506064,1,gq
CHEMBL5547760,Antagonist activity at human serotonin receptor 2A assessed as calcium flux at 10 uM by SAFETYscan analysis,CHEMBL5543141,1,gq
CHEMBL1020892,Activity at 5HT2A receptor assessed as calcium mobilization by FLIPR,CHEMBL1155011,1,gq
CHEMBL3386606,Agonist activity at 5HT2A receptor (unknown origin) expressed in CHOK1 cells after 3 mins by calcium flux/FLIPR assay,CHEMBL3352267,1,gq
CHEMBL4137917,Agonist activity at 5-HT2A (unknown origin) assessed as increase in calcium mobilization up to 100 uM measured for 2 mins by Fluo-4 dye based FLIPR assay,CHEMBL4130639,1,gq
CHEMBL3774030,Antagonist activity at human 5HT2A receptor assessed as change in intracellular calcium level at <5 uM by fluorescence assay,CHEMBL3769376,1,gq
CHEMBL3773873,Agonist activity at human 5HT2A receptor by assessed as change in intracellular calcium level at <5 uM by fluorescence assay,CHEMBL3769376,1,gq
CHEMBL3737570,Agonist activity at human recombinant 5-HT2A receptor expressed in Flp-In HEK cells preincubated for 10 mins by FLIPR based calcium mobilization assay,CHEMBL3734659,1,gq
CHEMBL3737564,Antagonist activity at human recombinant 5-HT2A receptor expressed in Flp-In HEK cells in the presence of agonist preincubated for 10 mins by FLIPR based calcium mobilization assay,CHEMBL3734659,1,gq
CHEMBL3635601,Antagonist activity at 5-HT2a receptor (unknown origin) expressed in CHO cells assessed as calcium mobilization at 3 uM,CHEMBL3632469,1,gq
CHEMBL3635370,Agonist activity at 5-HT2a receptor (unknown origin) expressed in CHO cells assessed as calcium mobilization at 3 uM,CHEMBL3632469,1,gq
CHEMBL3590945,Partial agonist activity at human 5-HT2A receptor expressed in human tsA201 cells after 30 mins by inositol phosphate turnover assay relative to 5-HT,CHEMBL3588775,1,gq
CHEMBL3590942,Partial agonist activity at human 5-HT2A receptor expressed in human tsA201 cells after 30 mins by inositol phosphate turnover assay,CHEMBL3588775,1,gq
CHEMBL3414317,Antagonist activity against human recombinant 5-HT2A receptor expressed in CHOK1 cells assessed as reduction in alpha-methylserotonin-induced increase in intracellular Ca2+ levels by aequorin based radiometric and luminescence plate counting method,CHEMBL3407464,1,gq
CHEMBL3387203,Antagonist activity at 5HT2A receptor (unknown origin) expressed in CHOK1 cells after 15 mins by calcium flux/FLIPR assay in presence of 5HT,CHEMBL3352267,1,gq
CHEMBL3377158,Agonist activity at 5HT2A receptor (unknown origin) at 10 uM by cell based calcium mobilization assay,CHEMBL3351908,1,gq
CHEMBL4179864,Agonist activity at human 5-HT2A receptor expressed in HEK293 cells assessed as increase in IP1 accumulation at 10 uM measured after 30 mins by HTRF method relative to control,CHEMBL4177603,1,gq
CHEMBL3243869,Antagonist activity at human recombinant 5HT2A receptor expressed in HEK293a cells assessed as inhibition of serotonin-induced increase in calcium fluorescence,CHEMBL3232708,1,gq
CHEMBL2396135,Agonist activity at serotonin-activated human recombinant 5HT-2A receptor expressed in HEK293 cells assessed as increase in intracellular calcium level after 5 mins measured for 1 min by fluorescence assay,CHEMBL2390866,1,gq
CHEMBL2328664,Antagonist activity at human 5-HT2A receptor assessed as decrease in agonist-induced intracellular calcium mobilization preincubated for 10 mins prior to agonist addition measured by FLIPR analysis,CHEMBL2321823,1,gq
CHEMBL2025264,Agonist activity at human 5HT2A receptor expressed in HEK293 cells assessed as calcium flux at 10 uM measured every sec for 3 mins by FLIPR assay,CHEMBL2021856,1,gq
CHEMBL1772768,Agonist activity at human recombinant 5HT2A receptor expressed in Swiss mouse 3T3 cells increase of fluorescence based calcium mobilization by FLIPR assay relative to control,CHEMBL1770110,1,gq
CHEMBL1772767,Agonist activity at human recombinant 5HT2A receptor expressed in Swiss mouse 3T3 cells increase of fluorescence based calcium mobilization by FLIPR assay,CHEMBL1770110,1,gq
CHEMBL1069958,Agonist activity against 5HT2A receptor assessed as inositol phosphate accumulation,CHEMBL1153119,1,gq
CHEMBL1059881,Antagonist activity at human recombinant 5HT2A expressed in HEK293 cells assessed as intracellular calcium by fluorimetry,CHEMBL1153053,1,gq
CHEMBL1049779,Agonist activity at human recombinant 5HT2A receptor transfected in CHO K1 cells assessed as calcium mobilisation by FLIPR assay,CHEMBL1155998,1,gq
CHEMBL1041066,Agonist activity at 5HT2A receptor expressed in HEK cells assessed as inhibition of serotonin-induced inositol phosphate accumulation,CHEMBL1155963,1,gq
CHEMBL1039802,Antagonist activity at human 5HT2A receptor expressed in CHO cells assessed as inhibition of (R)-(-)-DOI hydrochloride-induced intracellular calcium mobilization at 1000 nM by FLIPR assay,CHEMBL1152674,1,gq
CHEMBL4139214,Agonist activity at 5-HT2A receptor in human MCF7 cells assessed as increase in calcium flux at 5 uM measured at 5 secs time interval for 2 mins by Fluo-4AM dye based fluorescence microscopic analysis,CHEMBL4138090,1,gq
CHEMBL4193009,Antagonist activity at 5-HT2A receptor (unknown origin) by calcium release assay,CHEMBL4190286,1,gq
CHEMBL5359170,Partial agonist activity at human 5-HT2AR expressed in human Flp-In-T-REx-293 cells assessed as increase in calcium flux by measuring maximal efficacy incubated for 60 mins followed by incubation for 30 mins in dark by Flou-4 dye based FLIPR assay relative to control,CHEMBL5357013,1,gq
CHEMBL4195144,Agonist activity at human 5-HT2A receptor expressed in CHO-K1 cells co-expressing Galpha16 assessed as increase in calcium mobilization measured for 30 secs by aequorin-derived luminescence assay,CHEMBL4190389,1,gq
CHEMBL4709859,Agonist activity at human 5HT2A receptor expressed in CHO-K1 cells by calcium 4 dye based FLIPR assay,CHEMBL4706549,1,gq
CHEMBL4704156,Antagonist activity at human 5HT2A receptor at 2 uM by cell based calcium flux assay,CHEMBL4699583,1,gq
CHEMBL4704155,Agonist activity at human 5HT2A receptor at 2 uM by cell based calcium flux assay,CHEMBL4699583,1,gq
CHEMBL4677341,Antagonist activity at 5-HT2A receptor (unknown origin) by calcium mobilization assay,CHEMBL4673280,1,gq
CHEMBL4615098,Antagonist activity at recombinant human full-length 5HT2A receptor expressed in CHOK1 cells assessed as inhibition of serotonin-induced inositol phosphate accumulation at 1 uM measured after 30 mins by TR-FRET assay relative to control,CHEMBL4613264,1,gq
CHEMBL4276597,Agonist activity at serotonin 5-HT2A receptor (unknown origin) expressed in HEK293 cells assessed as induction of calcium flux after 60 mins by calcium 4-dye based FLIPR assay,CHEMBL4270672,1,gq
CHEMBL4229845,Antagonist activity at human 5-HT2AR expressed in HEK293 cells assessed as inhibition of serotonin-induced IP1 accumulation at 10'-6 M by chemiluminescence-based assay,CHEMBL4229332,1,gq
CHEMBL4229844,Antagonist activity at human 5-HT2AR expressed in HEK293 cells assessed as inhibition of serotonin-induced IP1 accumulation by chemiluminescence-based assay,CHEMBL4229332,1,gq
