assay_chembl_id,assay_description,document_chembl_id,n_records,pathway
CHEMBL4681100,Agonist activity at human 5-HT2A receptor expressed in human Flp-In-293 cells assessed as induction of calcium flux up to 10 uM incubated for 1 hr by Fluo-4 direct dye based FLIPR assay,CHEMBL4680082,17,gq
CHEMBL1648602,Agonist activity at human recombinant 5HT2A receptor expressed in CHOK1 cells assessed as induction of intracellular calcium release by FLIPR assay relative to 5-HT,CHEMBL1641370,17,gq
CHEMBL1648601,Agonist activity at human recombinant 5HT2A receptor expressed in CHOK1 cells assessed as induction of intracellular calcium release by FLIPR assay,CHEMBL1641370,17,gq
CHEMBL5375652,Agonist activity at 5-HT2A (unknown origin) expressed in HEK293T cells co-transfected with RLuc-fused Galphaq/GFP2/Gy9/Gbeta3 assessed as Gaq hetero trimeric G protein activation at 0.1 to 10 uM incubated for 30 mins using coelenterazine 400a as a substrate by BRET assay relative to control,CHEMBL5370684,17,gq
CHEMBL5375653,Agonist activity at 5-HT2A (unknown origin) expressed in HEK293T cells co-transfected with RLuc-fused Galphaq/GFP2/Gy9/Gbeta3 assessed as Gaq hetero trimeric G protein activation incubated for 30 mins using coelenterazine 400a as a substrate by BRET assay,CHEMBL5370684,17,gq
CHEMBL4222628,Antagonist activity at human recombinant 5-HT2A receptor expressed in CHOK1 cells assessed as inhibition of serotonin-induced calcium release preincubated for 15 mins followed by 5-HT addition measured every 1.7 secs for 60 secs by calcium 4 dye-based FLIPR assay,CHEMBL4219158,16,gq
CHEMBL3774009,Agonist activity at human 5HT2A receptor expressed in Flp-In-293 cells assessed as calcium flux at 10 uM by FLIPR assay relative to 5-HT,CHEMBL3769385,16,gq
CHEMBL1227642,Antagonist activity at human 5HT2A receptor expressed in HEK cells assessed as intracellular calcium luminescence by aequorin assay,CHEMBL1221290,16,gq
CHEMBL4615083,Antagonist activity at 5HT2A receptor (unknown origin) expressed in HEK293 cells assessed as inhibition of serotonin hydrochloride-induced calcium flux preincubated for 1 hr followed by serotonin hydrochloride addition by calcium 6 dye based FLIPR assay,CHEMBL4613264,15,gq
CHEMBL3420136,Agonist activity at human 5-HT2A receptor expressed in HEK293 cells assessed as calcium flux by FLIPR assay relative to 5-HT,CHEMBL3414471,15,gq
CHEMBL3420135,Agonist activity at human 5-HT2A receptor expressed in HEK293 cells assessed as calcium flux by FLIPR assay,CHEMBL3414471,15,gq
CHEMBL3636004,Antagonist activity at human 5-HT2A receptor assessed as inhibition of 5-HT-mediated internal calcium mobilization by FLIPR assay,CHEMBL3632459,15,gq
CHEMBL1039801,Antagonist activity at human 5HT2A receptor expressed in CHO cells assessed as inhibition of (R)-(-)-DOI hydrochloride-induced intracellular calcium mobilization by FLIPR assay,CHEMBL1152674,15,gq
CHEMBL4615082,Antagonist activity at 5HT2A receptor (unknown origin) expressed in HEK293 cells assessed as inhibition of serotonin hydrochloride-induced calcium flux at 1 uM preincubated for 1 hr followed by serotonin hydrochloride addition by calcium 6 dye based FLIPR assay relative to control,CHEMBL4613264,15,gq
CHEMBL5364596,Antagonist activity at 5-HT2A receptor in HEK293 cells assessed as calcium mobilisation by Fluo-4 dye based assay,CHEMBL5360648,14,gq
CHEMBL1046455,Agonist activity at human recombinant 5HT2A receptor expressed in Swiss mouse 3T3 cells assessed as induction of calcium mobilization by FLIPR assay,CHEMBL1156026,14,gq
CHEMBL2346330,Intrinsic activity at 5-HT2A receptor in HEK293E cells assessed as elevation of intracellular calcium level measured for 90 secs by FLIPR assay relative to serotonin,CHEMBL2331262,14,gq
CHEMBL2343044,Agonist activity at human 5HT2A receptor expressed in HEK293 cells assessed as accumulation of IP1 incubated for 1 hr at 37 degC followed by 15 mins at RT by TR-FRET assay,CHEMBL2331121,12,gq
CHEMBL4131901,Antagonist activity at recombinant human 5-HT2A assessed as inhibition of agonist-induced effect at 10 uM by aequorin reporter based assay,CHEMBL4130363,12,gq
CHEMBL5120416,Agonist activity at human 5HT2A receptor transfected in HEK293T cells assessed as mini Galphaq recruitment measured for 2 hrs by luminescent assay,CHEMBL5113537,12,gq
CHEMBL4000283,Antagonist activity at human 5-HT2A receptor expressed in F1pIn CHO cells assessed as inhibition of serotonin-induced myo-inositol 1 phosphate accumulation after 1 hr by HTRF assay,CHEMBL4000143,12,gq
CHEMBL1049777,Agonist activity at human recombinant 5HT2A receptor transfected in CHO K1 cells assessed as calcium mobilisation at 10 uM by FLIPR assay,CHEMBL1155998,12,gq
CHEMBL4202216,Agonist activity at recombinant 5-HT2A receptor (unknown origin) expressed in HEK293 cells assessed as increase in [3H]-inositol phosphate accumulation by scintillation counting method,CHEMBL4196226,12,gq
CHEMBL4131900,Agonist activity at recombinant human 5-HT2A at 10 uM by aequorin reporter based assay relative to agonist,CHEMBL4130363,12,gq
CHEMBL5120417,Agonist activity at human 5HT2A receptor transfected in HEK293T cells assessed as mini Galphaq recruitment measured for 2 hrs by luminescent assay relative to control,CHEMBL5113537,12,gq
CHEMBL5362788,Antagonist activity at human 5-HT2A expressed in CHO-K1 cells assessed as inhibition of 5HT stimulated inositol phosphate production preincubated for 10 mins followed by serotonin addition and measured after 20 mins by HTRF based assay,CHEMBL5360565,12,gq
CHEMBL5135942,Agonist activity at human 5-HT2A receptor expressed in cells assessed as increase in calcium mobilization by Calcium-6 dye based FLIPR assay,CHEMBL5131522,11,gq
CHEMBL936735,Intrinsic activity at human 5HT2A receptor expressed in CHO cells assessed as myo-[3H]inositol turnover relative to 5-hydroxytryptamine,CHEMBL1144676,11,gq
CHEMBL2343052,Agonist activity at human 5HT2A receptor expressed in HEK293 cells assessed as induction of intracellular calcium release at 1 mM measured for 90 secs by fluorescence assay,CHEMBL2331121,11,gq
CHEMBL5352733,Inhibition of 5HT2A receptor (unknown origin) expressed in HEK293 cells at 1 uM by FLIPR Calcium 6 dye based assay relative to control,CHEMBL5352387,11,gq
CHEMBL2342582,Antagonist activity at human 5HT2A receptor expressed in HEK293 cells assessed as inhibition of 5HT-induced intracellular calcium release at 1 mM measured for 90 secs by fluorescence assay,CHEMBL2331121,11,gq
CHEMBL3240636,Intrinsic agonist activity at human 5-HT2A receptor assessed as mobilization of internal calcium at 10 uM by FLIPR assay,CHEMBL3232860,11,gq
CHEMBL4195146,Antagonist activity at human 5-HT2A receptor expressed in CHO-K1 cells co-expressing Galpha16 assessed as decrease in serotonin calcium mobilization preincubated for 30 mins followed by serotonin challenge measured for 30 secs by aequorin-derived luminescence assay,CHEMBL4190389,10,gq
CHEMBL4368231,Antagonist activity at human 5HT2A receptor expressed in CHOK1 cells assessed as inhibition of 5-HT induced inositol phosphate production incubated for 24 hrs followed by 5-HT addition by HTRF assay,CHEMBL4364325,10,gq
CHEMBL5046642,Antagonist activity at human 5-HT2A receptor expressed in human recombinant CHO-K1 cells co-expressing G protein alpha16 incubated for 1 hr by cellular aequorin-based functional assay,CHEMBL5046222,10,gq
CHEMBL5335706,Positive allosteric modulator activity human 5-HT2A receptor expressed in CHO cells assessed as 5-HT evoked maximal calcium release by measuring RFU at 1 nM pretreated 15 mins before addition of 5-HT by FLIPR assay (Rvb = 100%),CHEMBL5331147,10,gq
CHEMBL5360449,Agonist activity at human 5-HT2A receptor expressed in CHO cells measured after 140 secs by Fluo-4 dye based calcium mobilization assay relative to control,CHEMBL5357083,10,gq
CHEMBL5364601,Agonist activity at 5-HT2A receptor in HEK293 cells assessed as calcium mobilisation by Fluo-4 dye based assay,CHEMBL5360648,10,gq
CHEMBL3240637,Antagonist activity at human 5-HT2A receptor assessed as inhibition of 5-HT-induced mobilization of internal calcium at 10 uM by FLIPR assay,CHEMBL3232860,10,gq
CHEMBL2396133,Antagonist activity at serotonin-activated human recombinant 5HT-2A receptor expressed in HEK293 cells assessed as decrease in intracellular calcium level after 5 mins measured for 1 min by fluorescence assay,CHEMBL2390866,10,gq
CHEMBL862277,Induction of 5HT2A receptor mediated increase in intracellular calcium concentration in CHO cells,CHEMBL1148668,8,gq
CHEMBL2343054,Antagonist activity at human 5HT2A receptor expressed in HEK293 cells assessed as inhibition of 5HT-induced intracellular calcium release measured for 90 secs by fluorescence assay,CHEMBL2331121,8,gq
CHEMBL2342584,Agonist activity at human 5HT2A receptor expressed in HEK293 cells assessed as induction of intracellular calcium release by fluorescence assay relative to 5HT,CHEMBL2331121,8,gq
CHEMBL5628134,Antagonist activity at human 5HT2A receptor expressed in human Flp-In-T-REx-293 cells assessed as equilibrium binding constant incubated for 1 hr by calcium flux assay,CHEMBL5625223,8,gq
CHEMBL934035,Antagonist activity at human recombinant 5HT2A receptor expressed in mouse NIH3T3 cells assessed as increase in calcium levels,CHEMBL1141597,8,gq
CHEMBL980679,Apparent affinity to human 5HT2A receptor expressed in serotonin-stimulated CHOK1 cells by calcium mobilization assay,CHEMBL1138595,8,gq
CHEMBL4708968,Antagonist activity at 5-HT2A receptor (unknown origin) assessed as decrease in intracellular calcium flux preincubated with calcium followed by compound challenge and measured after 10 mins by FLIPR method,CHEMBL4706522,7,gq
CHEMBL5547429,Agonist activity at human 5-HT2A receptor expressed in HEK293 cells assessed as maximal IP2 production measured after 30 mins incubation by HTRF assay relative to control,CHEMBL5543140,7,gq
CHEMBL5611626,Agonist activity at 5-HT2A (unknown origin) expressed in HEK293 cells assessed as increase in calcium influx by measuring maximal efficacy incubated for 50 mins by Fluo-4 dye based FLIPR assay relative to control,CHEMBL5608248,7,gq
CHEMBL4195145,Antagonist activity at human 5-HT2A receptor expressed in CHO-K1 cells co-expressing Galpha16 assessed as decrease in serotonin-induced calcium mobilization preincubated for 30 mins followed by serotonin challenge measured for 30 secs by aequorin-derived luminescence assay relative to control,CHEMBL4190389,7,gq
CHEMBL5611625,Agonist activity at 5-HT2A (unknown origin) expressed in HEK293 cells assessed as increase in calcium influx incubated for 50 mins by Fluo-4 dye based FLIPR assay,CHEMBL5608248,7,gq
CHEMBL4842292,Agonist activity at 5HT2A receptor (unknown origin) expressed in HEK293 cells by FLIPR calcium flux assay,CHEMBL4840380,6,gq
