document_chembl_id,doi,title,journal,year,authors,pubmed_id
CHEMBL5113537,10.1021/acs.jmedchem.2c00702,Discovery of β-Arrestin-Biased 25CN-NBOH-Derived 5-HT<sub>2A</sub> Receptor Agonists.,J Med Chem,2022,"Poulie CBM, Pottie E, Simon IA, Harpsøe K, D'Andrea L, Komarov IV, Gloriam DE, Jensen AA, Stove CP, Kristensen JL.",36099411
CHEMBL5370684,10.1021/acsmedchemlett.3c00444,Small-Molecule Heterocyclic Compounds: Gq-Biased Agonists for the 5-HT2A Receptor in Neuropsychiatric Treatment.,ACS Med Chem Lett,2023,Kargbo RB.,37974947
