compound_name,compound_id_in_paper,smiles,gq_emax,gq_ec50_nM,barr_emax,barr_ec50_nM,log_bias,bias_class,bias_method,reference_agonist,source
CHEMBL5437921,CHEMBL5437921,CN1CCC=C(c2n[nH]c3c(Cl)ccc(F)c23)C1,95.4,,50.9,,-0.2728305923673364,balanced,Emax_only,LSD/serotonin (per paper),Heterocyclic Gq-biased (ACS Med Chem Lett 2023)
CHEMBL5440436,CHEMBL5440436,Fc1ccc(Cl)c2[nH]nc(C3=CCCNC3)c12,106.3,,72.7,,-0.1649988536642589,balanced,Emax_only,LSD/serotonin (per paper),Heterocyclic Gq-biased (ACS Med Chem Lett 2023)
CHEMBL5440705,CHEMBL5440705,COc1cccc2[nH]cc(C3=CCCNC3)c12,96.1,,51.8,,-0.2683936279233123,balanced,Emax_only,LSD/serotonin (per paper),Heterocyclic Gq-biased (ACS Med Chem Lett 2023)
2C-CN,1j,COc1cc(CCN)cc(OC)c1CC#N,85.7,503.0,73.3,174.0,0.3931418894912574,balanced,Emax/EC50,LSD,literature (Pottie & Poulie 2023)
2C-N,1g,COc1cc(CCN)cc(OC)c1[N+](=O)[O-],99.7,92.5,71.5,32.2,0.31389674453262645,balanced,Emax/EC50,LSD,literature (Pottie & Poulie 2023)
2C-F,1d,COc1cc(CCN)cc(OC)c1F,95.8,75.0,77.5,26.4,0.3613935299496349,balanced,Emax/EC50,LSD,literature (Pottie & Poulie 2023)
2C-D,1b,COc1cc(CCN)cc(OC)c1C,121.0,59.4,85.7,16.9,0.39609519197426807,balanced,Emax/EC50,LSD,literature (Pottie & Poulie 2023)
2C-T,1e,COc1cc(CCN)cc(OC)c1SC,121.0,37.1,93.9,13.1,0.3419828359089426,balanced,Emax/EC50,LSD,literature (Pottie & Poulie 2023)
2C-P,1c,COc1cc(CCN)cc(OC)c1CCC,183.0,37.6,106.0,10.2,0.32944244870008427,balanced,Emax/EC50,LSD,literature (Pottie & Poulie 2023)
2C-T-7,1f,COc1cc(CCN)cc(OC)c1SCCC,174.0,14.3,113.0,4.99,0.26976468704249196,balanced,Emax/EC50,LSD,literature (Pottie & Poulie 2023)
DOT,1h,COc1cc([C@@H](C)N)cc(OC)c1SC,191.0,65.8,114.0,14.5,0.43272937546772566,balanced,Emax/EC50,LSD,literature (Pottie & Poulie 2023)
DOT-7,1i,COc1cc([C@@H](C)N)cc(OC)c1SCCC,189.0,7.63,116.0,2.18,0.3320642294039499,balanced,Emax/EC50,LSD,literature (Pottie & Poulie 2023)
25N-NBOH,2e,OCc1ccccc1NCCc1cc(OC)c([N+](=O)[O-])c(OC)c1,124.0,1.73,135.0,0.662,0.4541001970218665,balanced,Emax/EC50,LSD,literature (Pottie & Poulie 2023)
25T-NBOH,2a,OCc1ccccc1NCCc1cc(OC)c(SC)c(OC)c1,133.0,4.45,157.0,1.94,0.4326062924928535,balanced,Emax/EC50,LSD,literature (Pottie & Poulie 2023)
25N-NBMD,2h,COc1cc(CCNCc2c3ccccc3cc3ccccc23)cc(OC)c1[N+](=O)[O-],105.0,9.32,139.0,2.0,0.7902114178741572,barr-biased,Emax/EC50,LSD,literature (Pottie & Poulie 2023)
25N-NBOMe,2f,COc1cc(CCNCc2ccc(OC)cc2)cc(OC)c1[N+](=O)[O-],168.0,2.53,173.0,1.09,0.3784308446381268,balanced,Emax/EC50,LSD,literature (Pottie & Poulie 2023)
25N-NBF,2g,COc1cc(CCNCc2ccc3ccccc3c2)cc(OC)c1[N+](=O)[O-],94.2,74.7,131.0,14.2,0.8642526502952292,barr-biased,Emax/EC50,LSD,literature (Pottie & Poulie 2023)
25T-NBOMe,2b,COc1cc(CCNCc2ccc(OC)cc2)cc(OC)c1SC,179.0,4.22,177.0,2.05,0.308678825287833,balanced,Emax/EC50,LSD,literature (Pottie & Poulie 2023)
25T7-NBOH,2c,OCc1ccccc1NCCc1cc(OC)c(SCCC)c(OC)c1,138.0,17.5,168.0,13.9,0.18545344375682565,balanced,Emax/EC50,LSD,literature (Pottie & Poulie 2023)
25T7-NBOMe,2d,COc1cc(CCNCc2ccc(OC)cc2)cc(OC)c1SCCC,146.0,11.3,173.0,7.42,0.25636778554875095,balanced,Emax/EC50,LSD,literature (Pottie & Poulie 2023)
